                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0622,                 2.9794,                0.99106,                      1,                0.11121,                 0.5382,                0.37471,                0.95515,                 3.7257,                0.87733,             0.00024293,             0.00024293,             0.00024293
                      2,                 1.0151,                 1.7646,                0.99016,                      1,                0.27652,                0.50618,                0.37271,                0.92235,                 3.6728,                0.89451,             0.00047539,             0.00047539,             0.00047539
                      3,                 1.0813,                 1.5523,                 1.0305,                      1,                0.10548,                0.55813,                0.39252,                0.96104,                 3.4172,                0.93332,             0.00068239,             0.00068239,             0.00068239
                      4,                 1.0298,                 1.4592,                 1.0152,                0.91474,                0.35817,                 0.8333,                0.57365,                0.98608,                 2.9654,                0.96115,             0.00086392,             0.00086392,             0.00086392
                      5,                 1.0455,                 1.3115,                  1.034,                0.76422,                0.77522,                0.86961,                0.60773,                0.99012,                 2.3831,                0.99404,                0.00102,                0.00102,                0.00102
                      6,                 1.0442,                 1.3091,                 1.0304,                0.83726,                  0.852,                0.90564,                0.64483,                0.98079,                 2.1187,                0.98431,              0.0010753,              0.0010753,              0.0010753
                      7,                 1.0074,                 1.3502,                 1.0476,                0.72543,                0.76276,                0.81633,                 0.5645,                 1.0077,                 1.8326,                 1.0043,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.0038,                 1.2314,                 1.0262,                0.88194,                0.93787,                0.94794,                0.68206,                   0.93,                 1.3723,                0.96174,              0.0010046,              0.0010046,              0.0010046
                      9,                0.97313,                 1.1767,                 1.0186,                0.86616,                0.88449,                0.90464,                0.65153,                0.92158,                  1.375,                0.96325,             0.00093385,             0.00093385,             0.00093385
                     10,                0.93003,                 1.0853,                0.99739,                0.92624,                0.90978,                 0.9453,                0.68514,                0.88672,                 1.1745,                0.93976,             0.00086312,             0.00086312,             0.00086312
                     11,                0.92444,                 1.2807,                 0.9805,                0.90172,                0.97172,                0.94183,                0.65455,                0.92253,                 1.0852,                0.95822,             0.00079238,             0.00079238,             0.00079238
                     12,                0.92233,                 1.2059,                0.97786,                0.87994,                0.91543,                0.91666,                0.67552,                0.88734,                 1.0463,                0.94034,             0.00072164,             0.00072164,             0.00072164
                     13,                0.92841,                 1.1373,                0.97594,                0.87379,                 0.9706,                0.93402,                0.69308,                0.90055,                 1.0798,                0.94701,             0.00065091,             0.00065091,             0.00065091
                     14,                0.92365,                 1.0914,                0.99304,                0.93647,                0.97338,                0.97189,                0.73071,                0.86728,                0.96848,                 0.9267,             0.00058017,             0.00058017,             0.00058017
                     15,                0.91978,                 1.0503,                 0.9781,                0.91285,                0.95821,                 0.9619,                0.73366,                0.85333,                0.93202,                0.92074,             0.00050944,             0.00050944,             0.00050944
                     16,                0.88001,                0.98181,                0.95531,                0.94704,                0.97913,                0.97861,                0.74383,                  0.829,                0.87592,                0.92602,              0.0004387,              0.0004387,              0.0004387
                     17,                0.88167,                0.96163,                0.97018,                0.94679,                0.98632,                0.98053,                0.73986,                0.85617,                0.84784,                0.93322,             0.00036797,             0.00036797,             0.00036797
                     18,                 0.8674,                0.91476,                0.95004,                0.95496,                0.98479,                0.97994,                0.76248,                0.81312,                0.81699,                0.91297,             0.00029723,             0.00029723,             0.00029723
                     19,                0.83973,                0.88027,                0.95054,                0.95972,                0.98801,                0.98063,                 0.7737,                0.79819,                0.78293,                0.90884,              0.0002265,              0.0002265,              0.0002265
                     20,                0.82244,                0.86148,                0.95269,                0.95536,                0.99418,                0.98148,                0.77357,                0.78461,                0.75804,                0.90609,             0.00015576,             0.00015576,             0.00015576
